127.0.0.1 - - [11/Jun/2020:07:56:18 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Jun/2020:16:24:28 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:16:24:28 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:16:43:05 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:16:43:11 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 24606
0:0:0:0:0:0:0:1 - - [11/Jun/2020:16:43:12 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:16:43:15 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 32806
0:0:0:0:0:0:0:1 - - [11/Jun/2020:16:43:19 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:16:45:22 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:16:45:29 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 49206
0:0:0:0:0:0:0:1 - - [11/Jun/2020:16:45:30 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:16:45:32 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 32806
0:0:0:0:0:0:0:1 - - [11/Jun/2020:16:45:36 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
0:0:0:0:0:0:0:1 - - [11/Jun/2020:16:47:56 +0530] "GET /Summer_Internship_Backend/ServletFromJson HTTP/1.1" 200 37454893
